epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,1.3711102529866805,1.3632103612548427,0.4666666666666667,0.42513236517661296,0.2736747040013828,0.20566918594120168,0.3315411027180128
2,1.2969985324025943,1.2584752158114785,0.595,0.40927780977455985,0.4095017716705557,0.382088285229202,0.5429032258064517
3,1.1834509033241019,1.1779474302342063,0.6133333333333333,0.4286656751230695,0.44603577910292974,0.4257240833562879,0.591804925518377
4,1.0611340008824077,1.1403853140379254,0.6266666666666667,0.6966415479635685,0.504017803128511,0.5335770022416018,0.6235131197759956
